"age","-","state","-","kind","-",deaths,population,-
"65-74 years","65-74","Alabama","01","Non-Injury: Intestinal infections","GR113 001-003",26,501447,5.2
"65-74 years","65-74","Alabama","01","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",3212,501447,640.5
"65-74 years","65-74","Alabama","01","Non-Injury: Nephritis, nephrotic syndrome and nephrosis","GR113 097",240,501447,47.9
"65-74 years","65-74","Alabama","01","Non-Injury: Nutritional Deficiencies","GR113 048-049",49,501447,9.8
"65-74 years","65-74","Alabama","01","Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae","GR113-018",33,501447,6.6
"65-74 years","65-74","Alabama","01","Non-Injury: Other diseases of respiratory system","GR113-089",221,501447,44.1
"65-74 years","65-74","Alabama","01","Non-Injury: Other diseases of the circulatory system","GR113 073-074",58,501447,11.6
"65-74 years","65-74","Alabama","01","Non-Injury: Other disorders of circulatory system","GR113-075",29,501447,5.8
"65-74 years","65-74","Alabama","01","Non-Injury: Parkinsons disease","GR113-051",114,501447,22.7
"65-74 years","65-74","Alabama","01","Non-Injury: Pneumonitis due to solids and liquids","GR113-088",60,501447,12.0
"65-74 years","65-74","Alabama","01","Non-Injury: Septicemia","GR113-010",265,501447,52.8
"65-74 years","65-74","Alabama","01","Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","GR113-110",167,501447,33.3
"65-74 years","65-74","Alabama","01","Non-Injury: Viral hepatitis","GR113-015",10,501447,Unreliable
"65-74 years","65-74","Alabama","01","Poisoning","GRINJ-015",31,501447,6.2
"65-74 years","65-74","Alabama","01","Suffocation","GRINJ-017",21,501447,4.2
"65-74 years","65-74","Alabama","01","Unspecified Injury","GRINJ-020",41,501447,8.2
"75-84 years","75-84","Alabama","01","Fall","GRINJ-003",85,256847,33.1
"75-84 years","75-84","Alabama","01","Fire/Flame","GRINJ-004",15,256847,Unreliable
"75-84 years","75-84","Alabama","01","Firearm","GRINJ-006",56,256847,21.8
"75-84 years","75-84","Alabama","01","Motor Vehicle Traffic","GRINJ-008",52,256847,20.2
"75-84 years","75-84","Alabama","01","Non-Injury: All other diseases (Residual)","GR113-111",1475,256847,574.3
"75-84 years","75-84","Alabama","01","Non-Injury: Alzheimers disease","GR113-052",932,256847,362.9
"75-84 years","75-84","Alabama","01","Non-Injury: Anemias","GR113-045",26,256847,10.1
"75-84 years","75-84","Alabama","01","Non-Injury: Atherosclerosis","GR113-071",25,256847,9.7
"75-84 years","75-84","Alabama","01","Non-Injury: Cerebrovascular diseases, including stroke","GR113-070",955,256847,371.8
"75-84 years","75-84","Alabama","01","Non-Injury: Cholelithiasis and other disorders of gallbladder","GR113-096",18,256847,Unreliable
"75-84 years","75-84","Alabama","01","Non-Injury: Chronic liver disease and cirrhosis","GR113 093",88,256847,34.3
"75-84 years","75-84","Alabama","01","Non-Injury: Chronic lower respiratory diseases","GR113 082",1154,256847,449.3
"75-84 years","75-84","Alabama","01","Non-Injury: Complications of medical and surgical care","GR113-135",21,256847,8.2
"75-84 years","75-84","Alabama","01","Non-Injury: Diabetes mellitus","GR113-046",294,256847,114.5
"75-84 years","75-84","Alabama","01","Non-Injury: Diseases of Heart","GR113 055-068",3264,256847,1270.8
"75-84 years","75-84","Alabama","01","Non-Injury: Essential (primary) hypertension and hypertensive renal disease","GR113-069",144,256847,56.1
"75-84 years","75-84","Alabama","01","Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","GR113-044",70,256847,27.3
"75-84 years","75-84","Alabama","01","Non-Injury: Influenza & Pneumonia","GR113 077-078",255,256847,99.3
"75-84 years","75-84","Alabama","01","Non-Injury: Intestinal infections","GR113 001-003",31,256847,12.1
"75-84 years","75-84","Alabama","01","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",2715,256847,1057.0
"75-84 years","75-84","Alabama","01","Non-Injury: Nephritis, nephrotic syndrome and nephrosis","GR113 097",288,256847,112.1
"75-84 years","75-84","Alabama","01","Non-Injury: Nutritional Deficiencies","GR113 048-049",107,256847,41.7
"75-84 years","75-84","Alabama","01","Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae","GR113-018",23,256847,9.0
"75-84 years","75-84","Alabama","01","Non-Injury: Other diseases of respiratory system","GR113-089",297,256847,115.6
"75-84 years","75-84","Alabama","01","Non-Injury: Other diseases of the circulatory system","GR113 073-074",69,256847,26.9
"75-84 years","75-84","Alabama","01","Non-Injury: Other disorders of circulatory system","GR113-075",35,256847,13.6
"75-84 years","75-84","Alabama","01","Non-Injury: Parkinsons disease","GR113-051",245,256847,95.4
"75-84 years","75-84","Alabama","01","Non-Injury: Peptic ulcer","GR113-090",12,256847,Unreliable
"75-84 years","75-84","Alabama","01","Non-Injury: Pneumonitis due to solids and liquids","GR113-088",103,256847,40.1
"75-84 years","75-84","Alabama","01","Non-Injury: Septicemia","GR113-010",272,256847,105.9
"75-84 years","75-84","Alabama","01","Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","GR113-110",165,256847,64.2
"75-84 years","75-84","Alabama","01","Poisoning","GRINJ-015",12,256847,Unreliable
"75-84 years","75-84","Alabama","01","Suffocation","GRINJ-017",22,256847,8.6
"75-84 years","75-84","Alabama","01","Unspecified Injury","GRINJ-020",71,256847,27.6
"85+ years","85+","Alabama","01","Fall","GRINJ-003",87,91543,95.0
"85+ years","85+","Alabama","01","Firearm","GRINJ-006",25,91543,27.3
"85+ years","85+","Alabama","01","Motor Vehicle Traffic","GRINJ-008",26,91543,28.4
"85+ years","85+","Alabama","01","Non-Injury: All other diseases (Residual)","GR113-111",2027,91543,2214.3
"85+ years","85+","Alabama","01","Non-Injury: Alzheimers disease","GR113-052",1466,91543,1601.4
"85+ years","85+","Alabama","01","Non-Injury: Anemias","GR113-045",29,91543,31.7
"85+ years","85+","Alabama","01","Non-Injury: Atherosclerosis","GR113-071",32,91543,35.0
"85+ years","85+","Alabama","01","Non-Injury: Cerebrovascular diseases, including stroke","GR113-070",1014,91543,1107.7
"85+ years","85+","Alabama","01","Non-Injury: Chronic liver disease and cirrhosis","GR113 093",16,91543,Unreliable
"85+ years","85+","Alabama","01","Non-Injury: Chronic lower respiratory diseases","GR113 082",702,91543,766.9
"85+ years","85+","Alabama","01","Non-Injury: Complications of medical and surgical care","GR113-135",16,91543,Unreliable
"85+ years","85+","Alabama","01","Non-Injury: Diabetes mellitus","GR113-046",149,91543,162.8
"85+ years","85+","Alabama","01","Non-Injury: Diseases of Heart","GR113 055-068",4021,91543,4392.5
"85+ years","85+","Alabama","01","Non-Injury: Essential (primary) hypertension and hypertensive renal disease","GR113-069",172,91543,187.9
"85+ years","85+","Alabama","01","Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior","GR113-044",62,91543,67.7
"85+ years","85+","Alabama","01","Non-Injury: Influenza & Pneumonia","GR113 077-078",304,91543,332.1
"85+ years","85+","Alabama","01","Non-Injury: Intestinal infections","GR113 001-003",25,91543,27.3
"85+ years","85+","Alabama","01","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",1365,91543,1491.1
"85+ years","85+","Alabama","01","Non-Injury: Nephritis, nephrotic syndrome and nephrosis","GR113 097",227,91543,248.0
"85+ years","85+","Alabama","01","Non-Injury: Nutritional Deficiencies","GR113 048-049",196,91543,214.1
"85+ years","85+","Alabama","01","Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae","GR113-018",18,91543,Unreliable
"85+ years","85+","Alabama","01","Non-Injury: Other diseases of respiratory system","GR113-089",202,91543,220.7
"85+ years","85+","Alabama","01","Non-Injury: Other diseases of the circulatory system","GR113 073-074",55,91543,60.1
"85+ years","85+","Alabama","01","Non-Injury: Other disorders of circulatory system","GR113-075",31,91543,33.9
"85+ years","85+","Alabama","01","Non-Injury: Parkinsons disease","GR113-051",187,91543,204.3
"85+ years","85+","Alabama","01","Non-Injury: Peptic ulcer","GR113-090",10,91543,Unreliable
"85+ years","85+","Alabama","01","Non-Injury: Pneumonitis due to solids and liquids","GR113-088",104,91543,113.6
"85+ years","85+","Alabama","01","Non-Injury: Septicemia","GR113-010",162,91543,177.0
"85+ years","85+","Alabama","01","Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","GR113-110",214,91543,233.8
"85+ years","85+","Alabama","01","Suffocation","GRINJ-017",21,91543,22.9
"85+ years","85+","Alabama","01","Unspecified Injury","GRINJ-020",61,91543,66.6
"< 1 year","1","Alabama","01","Non-Injury: All other diseases (Residual)","GR113-111",13,56901,Unreliable
"< 1 year","1","Alabama","01","Non-Injury: Certain conditions originating in the perinatal period","GR113-108",180,56901,316.3
"< 1 year","1","Alabama","01","Non-Injury: Congenital malformations, deformations and chromosomal abnormalities","GR113-109",89,56901,156.4
"< 1 year","1","Alabama","01","Non-Injury: Diseases of Heart","GR113 055-068",11,56901,Unreliable
"< 1 year","1","Alabama","01","Non-Injury: Intestinal infections","GR113 001-003",10,56901,Unreliable
"< 1 year","1","Alabama","01","Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","GR113-110",89,56901,156.4
"< 1 year","1","Alabama","01","Suffocation","GRINJ-017",17,56901,Unreliable
"1-4 years","1-4","Arizona","04","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",13,347859,Unreliable
"1-4 years","1-4","California","06","Drowning","GRINJ-002",44,1921127,2.3
"1-4 years","1-4","California","06","Motor Vehicle Traffic","GRINJ-008",14,1921127,Unreliable
"1-4 years","1-4","California","06","Non-Injury: All other diseases (Residual)","GR113-111",35,1921127,1.8
"1-4 years","1-4","California","06","Non-Injury: Congenital malformations, deformations and chromosomal abnormalities","GR113-109",37,1921127,1.9
"1-4 years","1-4","California","06","Non-Injury: Diseases of Heart","GR113 055-068",13,1921127,Unreliable
"1-4 years","1-4","California","06","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",33,1921127,1.7
"1-4 years","1-4","California","06","Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae","GR113-018",15,1921127,Unreliable
"1-4 years","1-4","California","06","Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","GR113-110",26,1921127,1.4
"1-4 years","1-4","California","06","Suffocation","GRINJ-017",13,1921127,Unreliable
"15-24 years","15-24","Alaska","02","Firearm","GRINJ-006",41,96393,42.5
"15-24 years","15-24","Alaska","02","Motor Vehicle Traffic","GRINJ-008",17,96393,Unreliable
"15-24 years","15-24","Alaska","02","Poisoning","GRINJ-015",10,96393,Unreliable
"15-24 years","15-24","Alaska","02","Suffocation","GRINJ-017",24,96393,24.9
"15-24 years","15-24","Arizona","04","Drowning","GRINJ-002",13,973547,Unreliable
"15-24 years","15-24","Arizona","04","Fall","GRINJ-003",14,973547,Unreliable
"15-24 years","15-24","Arizona","04","Firearm","GRINJ-006",171,973547,17.6
"15-24 years","15-24","Arizona","04","Motor Vehicle Traffic","GRINJ-008",152,973547,15.6
"15-24 years","15-24","Arizona","04","Non-Injury: All other diseases (Residual)","GR113-111",34,973547,3.5
"15-24 years","15-24","Arizona","04","Non-Injury: Diseases of Heart","GR113 055-068",12,973547,Unreliable
"15-24 years","15-24","Arizona","04","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",35,973547,3.6
"15-24 years","15-24","Arizona","04","Poisoning","GRINJ-015",270,973547,27.7
"15-24 years","15-24","Arizona","04","Suffocation","GRINJ-017",60,973547,6.2
"15-24 years","15-24","Arkansas","05","Firearm","GRINJ-006",124,397538,31.2
"15-24 years","15-24","Arkansas","05","Motor Vehicle Traffic","GRINJ-008",88,397538,22.1
"15-24 years","15-24","Arkansas","05","Non-Injury: All other diseases (Residual)","GR113-111",18,397538,Unreliable
"15-24 years","15-24","Arkansas","05","Non-Injury: Diseases of Heart","GR113 055-068",12,397538,Unreliable
"15-24 years","15-24","Arkansas","05","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",17,397538,Unreliable
"15-24 years","15-24","Arkansas","05","Poisoning","GRINJ-015",38,397538,9.6
"15-24 years","15-24","Arkansas","05","Suffocation","GRINJ-017",29,397538,7.3
"15-24 years","15-24","California","06","Cut/Pierce","GRINJ-001",44,5180973,0.8
"15-24 years","15-24","California","06","Drowning","GRINJ-002",51,5180973,1.0
"15-24 years","15-24","California","06","Fall","GRINJ-003",52,5180973,1.0
"15-24 years","15-24","California","06","Firearm","GRINJ-006",518,5180973,10.0
"15-24 years","15-24","California","06","Motor Vehicle Traffic","GRINJ-008",584,5180973,11.3
"15-24 years","15-24","California","06","Non-Injury: All other diseases (Residual)","GR113-111",199,5180973,3.8
"15-24 years","15-24","California","06","Non-Injury: Cerebrovascular diseases, including stroke","GR113-070",11,5180973,Unreliable
"15-24 years","15-24","California","06","Non-Injury: Chronic lower respiratory diseases","GR113 082",10,5180973,Unreliable
"15-24 years","15-24","California","06","Non-Injury: Congenital malformations, deformations and chromosomal abnormalities","GR113-109",38,5180973,0.7
"15-24 years","15-24","California","06","Non-Injury: Diabetes mellitus","GR113-046",17,5180973,Unreliable
"15-24 years","15-24","California","06","Non-Injury: Diseases of Heart","GR113 055-068",67,5180973,1.3
"15-24 years","15-24","California","06","Non-Injury: Human immunodeficiency virus (HIV) disease","GR113-016",13,5180973,Unreliable
"15-24 years","15-24","California","06","Non-Injury: Influenza & Pneumonia","GR113 077-078",18,5180973,Unreliable
"15-24 years","15-24","California","06","Non-Injury: Malignant neoplasms (Cancers)","GR113 020-043",197,5180973,3.8
