"state","-","age","-","kind","-",deaths,population,-
"Arizona","04","< 1 year","1","Undetermined ","4",14,81929,Unreliable
"Arizona","04","< 1 year","1","Non-Injury, no intent classified","9",386,81929,471.1
"Arizona","04","1-4 years","1-4","Unintentional","1",25,347859,7.2
"Arizona","04","1-4 years","1-4","Non-Injury, no intent classified","9",50,347859,14.4
"Arizona","04","5-14 years","5-14","Unintentional","1",35,930745,3.8
"Arizona","04","5-14 years","5-14","Suicide","2",15,930745,Unreliable
"Arizona","04","5-14 years","5-14","Homicide","3",15,930745,Unreliable
"Arizona","04","5-14 years","5-14","Non-Injury, no intent classified","9",75,930745,8.1
"Arizona","04","15-24 years","15-24","Unintentional","1",450,973547,46.2
"Arizona","04","15-24 years","15-24","Suicide","2",153,973547,15.7
"Arizona","04","15-24 years","15-24","Homicide","3",93,973547,9.6
"Arizona","04","15-24 years","15-24","Undetermined ","4",19,973547,Unreliable
"Arizona","04","15-24 years","15-24","Non-Injury, no intent classified","9",128,973547,13.1
"Arizona","04","25-34 years","25-34","Unintentional","1",610,1007093,60.6
"Arizona","04","25-34 years","25-34","Suicide","2",259,1007093,25.7
"Arizona","04","25-34 years","25-34","Homicide","3",108,1007093,10.7
"Arizona","04","25-34 years","25-34","Undetermined ","4",21,1007093,2.1
"Arizona","04","25-34 years","25-34","Non-Injury, no intent classified","9",504,1007093,50.0
"Arizona","04","35-44 years","35-44","Unintentional","1",610,896027,68.1
"Arizona","04","35-44 years","35-44","Suicide","2",188,896027,21.0
"Arizona","04","35-44 years","35-44","Homicide","3",71,896027,7.9
"Arizona","04","35-44 years","35-44","Undetermined ","4",23,896027,2.6
"Arizona","04","35-44 years","35-44","Non-Injury, no intent classified","9",1033,896027,115.3
"Arizona","04","45-54 years","45-54","Unintentional","1",577,852090,67.7
"Arizona","04","45-54 years","45-54","Suicide","2",236,852090,27.7
"Arizona","04","45-54 years","45-54","Homicide","3",44,852090,5.2
"Arizona","04","45-54 years","45-54","Undetermined ","4",19,852090,Unreliable
"Arizona","04","45-54 years","45-54","Non-Injury, no intent classified","9",2513,852090,294.9
"Arizona","04","55-64 years","55-64","Unintentional","1",661,880794,75.0
"Arizona","04","55-64 years","55-64","Suicide","2",226,880794,25.7
"Arizona","04","55-64 years","55-64","Homicide","3",37,880794,4.2
"Arizona","04","55-64 years","55-64","Undetermined ","4",25,880794,2.8
"Arizona","04","55-64 years","55-64","Non-Injury, no intent classified","9",6513,880794,739.4
"Arizona","04","65-74 years","65-74","Unintentional","1",431,751699,57.3
"Arizona","04","65-74 years","65-74","Suicide","2",156,751699,20.8
"Arizona","04","65-74 years","65-74","Homicide","3",20,751699,2.7
"Arizona","04","65-74 years","65-74","Undetermined ","4",14,751699,Unreliable
"Arizona","04","65-74 years","65-74","Non-Injury, no intent classified","9",11337,751699,1508.2
"Arizona","04","75-84 years","75-84","Unintentional","1",515,411197,125.2
"Arizona","04","75-84 years","75-84","Suicide","2",125,411197,30.4
"Arizona","04","75-84 years","75-84","Homicide","3",11,411197,Unreliable
"Arizona","04","75-84 years","75-84","Non-Injury, no intent classified","9",14761,411197,3589.8
"Arizona","04","85+ years","85+","Unintentional","1",623,145737,427.5
"Arizona","04","85+ years","85+","Suicide","2",61,145737,41.9
"Arizona","04","85+ years","85+","Non-Injury, no intent classified","9",16380,145737,11239.4
"Arkansas","05","< 1 year","1","Non-Injury, no intent classified","9",237,36355,651.9
"Arkansas","05","1-4 years","1-4","Unintentional","1",23,152109,15.1
"Arkansas","05","1-4 years","1-4","Non-Injury, no intent classified","9",27,152109,17.8
"Arkansas","05","5-14 years","5-14","Unintentional","1",21,393213,5.3
"Arkansas","05","5-14 years","5-14","Non-Injury, no intent classified","9",36,393213,9.2
"Arkansas","05","15-24 years","15-24","Unintentional","1",138,397538,34.7
"Arkansas","05","15-24 years","15-24","Suicide","2",87,397538,21.9
"Arkansas","05","15-24 years","15-24","Homicide","3",68,397538,17.1
"Arkansas","05","15-24 years","15-24","Non-Injury, no intent classified","9",87,397538,21.9
"Arkansas","05","25-34 years","25-34","Unintentional","1",197,396868,49.6
"Arkansas","05","25-34 years","25-34","Suicide","2",94,396868,23.7
"Arkansas","05","25-34 years","25-34","Homicide","3",61,396868,15.4
"Arkansas","05","25-34 years","25-34","Undetermined ","4",13,396868,Unreliable
"Arkansas","05","25-34 years","25-34","Non-Injury, no intent classified","9",203,396868,51.2
"Arkansas","05","35-44 years","35-44","Unintentional","1",210,370263,56.7
"Arkansas","05","35-44 years","35-44","Suicide","2",85,370263,23.0
"Arkansas","05","35-44 years","35-44","Homicide","3",58,370263,15.7
"Arkansas","05","35-44 years","35-44","Undetermined ","4",13,370263,Unreliable
"Arkansas","05","35-44 years","35-44","Non-Injury, no intent classified","9",629,370263,169.9
"Arkansas","05","45-54 years","45-54","Unintentional","1",204,361582,56.4
"Arkansas","05","45-54 years","45-54","Suicide","2",91,361582,25.2
"Arkansas","05","45-54 years","45-54","Homicide","3",20,361582,5.5
"Arkansas","05","45-54 years","45-54","Non-Injury, no intent classified","9",1627,361582,450.0
"Arkansas","05","55-64 years","55-64","Unintentional","1",218,385994,56.5
"Arkansas","05","55-64 years","55-64","Suicide","2",94,385994,24.4
"Arkansas","05","55-64 years","55-64","Homicide","3",37,385994,9.6
"Arkansas","05","55-64 years","55-64","Non-Injury, no intent classified","9",4422,385994,1145.6
"Arkansas","05","65-74 years","65-74","Unintentional","1",174,302829,57.5
"Arkansas","05","65-74 years","65-74","Suicide","2",45,302829,14.9
"Arkansas","05","65-74 years","65-74","Non-Injury, no intent classified","9",6821,302829,2252.4
"Arkansas","05","75-84 years","75-84","Unintentional","1",169,161141,104.9
"Arkansas","05","75-84 years","75-84","Suicide","2",32,161141,19.9
"Arkansas","05","75-84 years","75-84","Non-Injury, no intent classified","9",8238,161141,5112.3
"Arkansas","05","85+ years","85+","Unintentional","1",165,59912,275.4
"Arkansas","05","85+ years","85+","Suicide","2",15,59912,Unreliable
"Arkansas","05","85+ years","85+","Non-Injury, no intent classified","9",8141,59912,13588.3
"California","06","< 1 year","1","Unintentional","1",63,462589,13.6
"California","06","< 1 year","1","Homicide","3",17,462589,Unreliable
"California","06","< 1 year","1","Undetermined ","4",10,462589,Unreliable
"California","06","< 1 year","1","Non-Injury, no intent classified","9",1789,462589,386.7
"California","06","1-4 years","1-4","Unintentional","1",92,1921127,4.8
"California","06","1-4 years","1-4","Homicide","3",16,1921127,Unreliable
"California","06","1-4 years","1-4","Non-Injury, no intent classified","9",202,1921127,10.5
"California","06","5-14 years","5-14","Unintentional","1",132,5007987,2.6
"California","06","5-14 years","5-14","Suicide","2",27,5007987,0.5
"California","06","5-14 years","5-14","Homicide","3",27,5007987,0.5
"California","06","5-14 years","5-14","Non-Injury, no intent classified","9",302,5007987,6.0
"California","06","15-24 years","15-24","Unintentional","1",1230,5180973,23.7
"California","06","15-24 years","15-24","Suicide","2",498,5180973,9.6
"California","06","15-24 years","15-24","Homicide","3",416,5180973,8.0
"California","06","15-24 years","15-24","Undetermined ","4",21,5180973,0.4
"California","06","15-24 years","15-24","Legal Intervention / Operations of War","5",13,5180973,Unreliable
"California","06","15-24 years","15-24","Non-Injury, no intent classified","9",726,5180973,14.0
"California","06","25-34 years","25-34","Unintentional","1",2206,6052952,36.4
"California","06","25-34 years","25-34","Suicide","2",775,6052952,12.8
"California","06","25-34 years","25-34","Homicide","3",480,6052952,7.9
"California","06","25-34 years","25-34","Undetermined ","4",37,6052952,0.6
"California","06","25-34 years","25-34","Legal Intervention / Operations of War","5",33,6052952,0.5
"California","06","25-34 years","25-34","Non-Injury, no intent classified","9",2193,6052952,36.2
"California","06","35-44 years","35-44","Unintentional","1",1968,5282100,37.3
"California","06","35-44 years","35-44","Suicide","2",664,5282100,12.6
"California","06","35-44 years","35-44","Homicide","3",349,5282100,6.6
"California","06","35-44 years","35-44","Undetermined ","4",42,5282100,0.8
"California","06","35-44 years","35-44","Legal Intervention / Operations of War","5",12,5282100,Unreliable
"California","06","35-44 years","35-44","Non-Injury, no intent classified","9",4715,5282100,89.3
"California","06","45-54 years","45-54","Unintentional","1",2229,4979745,44.8
"California","06","45-54 years","45-54","Suicide","2",733,4979745,14.7
"California","06","45-54 years","45-54","Homicide","3",187,4979745,3.8
"California","06","45-54 years","45-54","Undetermined ","4",44,4979745,0.9
"California","06","45-54 years","45-54","Legal Intervention / Operations of War","5",18,4979745,Unreliable
"California","06","45-54 years","45-54","Non-Injury, no intent classified","9",11932,4979745,239.6
"California","06","55-64 years","55-64","Unintentional","1",2589,4786635,54.1
"California","06","55-64 years","55-64","Suicide","2",812,4786635,17.0
"California","06","55-64 years","55-64","Homicide","3",190,4786635,4.0
"California","06","55-64 years","55-64","Undetermined ","4",50,4786635,1.0
"California","06","55-64 years","55-64","Non-Injury, no intent classified","9",30447,4786635,636.1
"California","06","65-74 years","65-74","Unintentional","1",1644,3386670,48.5
"California","06","65-74 years","65-74","Suicide","2",465,3386670,13.7
"California","06","65-74 years","65-74","Homicide","3",70,3386670,2.1
"California","06","65-74 years","65-74","Undetermined ","4",28,3386670,0.8
"California","06","65-74 years","65-74","Non-Injury, no intent classified","9",46954,3386670,1386.4
"California","06","75-84 years","75-84","Unintentional","1",1327,1701599,78.0
"California","06","75-84 years","75-84","Suicide","2",301,1701599,17.7
"California","06","75-84 years","75-84","Homicide","3",33,1701599,1.9
"California","06","75-84 years","75-84","Non-Injury, no intent classified","9",60703,1701599,3567.4
"California","06","85+ years","85+","Unintentional","1",1629,749846,217.2
"California","06","85+ years","85+","Suicide","2",160,749846,21.3
"California","06","85+ years","85+","Non-Injury, no intent classified","9",88169,749846,11758.3
"California","06","Not Stated","NS","Non-Injury, no intent classified","9",24,Not Applicable,Not Applicable
"Colorado","08","< 1 year","1","Unintentional","1",36,64561,55.8
"Colorado","08","< 1 year","1","Non-Injury, no intent classified","9",268,64561,415.1
"Colorado","08","1-4 years","1-4","Unintentional","1",10,267640,Unreliable
"Colorado","08","1-4 years","1-4","Non-Injury, no intent classified","9",21,267640,7.8
"Colorado","08","5-14 years","5-14","Unintentional","1",20,710322,2.8
"Colorado","08","5-14 years","5-14","Suicide","2",21,710322,3.0
"Colorado","08","5-14 years","5-14","Non-Injury, no intent classified","9",55,710322,7.7
"Colorado","08","15-24 years","15-24","Unintentional","1",220,743213,29.6
"Colorado","08","15-24 years","15-24","Suicide","2",186,743213,25.0
"Colorado","08","15-24 years","15-24","Homicide","3",61,743213,8.2
"Colorado","08","15-24 years","15-24","Undetermined ","4",10,743213,Unreliable
"Colorado","08","15-24 years","15-24","Non-Injury, no intent classified","9",103,743213,13.9
"Colorado","08","25-34 years","25-34","Unintentional","1",446,913354,48.8
"Colorado","08","25-34 years","25-34","Suicide","2",267,913354,29.2
"Colorado","08","25-34 years","25-34","Homicide","3",51,913354,5.6
"Colorado","08","25-34 years","25-34","Undetermined ","4",10,913354,Unreliable
"Colorado","08","25-34 years","25-34","Non-Injury, no intent classified","9",318,913354,34.8
"Colorado","08","35-44 years","35-44","Unintentional","1",363,798071,45.5
"Colorado","08","35-44 years","35-44","Suicide","2",229,798071,28.7
"Colorado","08","35-44 years","35-44","Homicide","3",51,798071,6.4
"Colorado","08","35-44 years","35-44","Non-Injury, no intent classified","9",723,798071,90.6
"Colorado","08","45-54 years","45-54","Unintentional","1",350,706150,49.6
"Colorado","08","45-54 years","45-54","Suicide","2",208,706150,29.5
"Colorado","08","45-54 years","45-54","Homicide","3",29,706150,4.1
"Colorado","08","45-54 years","45-54","Non-Injury, no intent classified","9",1682,706150,238.2
"Colorado","08","55-64 years","55-64","Unintentional","1",417,713013,58.5
"Colorado","08","55-64 years","55-64","Suicide","2",207,713013,29.0
"Colorado","08","55-64 years","55-64","Homicide","3",38,713013,5.3
"Colorado","08","55-64 years","55-64","Non-Injury, no intent classified","9",4507,713013,632.1
"Colorado","08","65-74 years","65-74","Unintentional","1",287,522131,55.0
"Colorado","08","65-74 years","65-74","Suicide","2",103,522131,19.7
"Colorado","08","65-74 years","65-74","Non-Injury, no intent classified","9",7026,522131,1345.6
"Colorado","08","75-84 years","75-84","Unintentional","1",359,230360,155.8
"Colorado","08","75-84 years","75-84","Suicide","2",69,230360,30.0
"Colorado","08","75-84 years","75-84","Non-Injury, no intent classified","9",8626,230360,3744.6
"Colorado","08","85+ years","85+","Unintentional","1",577,89921,641.7
"Colorado","08","85+ years","85+","Suicide","2",22,89921,24.5
"Colorado","08","85+ years","85+","Non-Injury, no intent classified","9",11334,89921,12604.4
"Connecticut","09","< 1 year","1","Non-Injury, no intent classified","9",150,34625,433.2
"Connecticut","09","1-4 years","1-4","Non-Injury, no intent classified","9",14,147085,Unreliable
"Connecticut","09","5-14 years","5-14","Non-Injury, no intent classified","9",25,409000,6.1
"Connecticut","09","15-24 years","15-24","Unintentional","1",123,478803,25.7
"Connecticut","09","15-24 years","15-24","Suicide","2",45,478803,9.4
"Connecticut","09","15-24 years","15-24","Homicide","3",18,478803,Unreliable
"Connecticut","09","15-24 years","15-24","Non-Injury, no intent classified","9",50,478803,10.4
"Connecticut","09","25-34 years","25-34","Unintentional","1",325,448029,72.5
"Connecticut","09","25-34 years","25-34","Suicide","2",71,448029,15.8
"Connecticut","09","25-34 years","25-34","Homicide","3",28,448029,6.2
"Connecticut","09","25-34 years","25-34","Non-Injury, no intent classified","9",174,448029,38.8
"Connecticut","09","35-44 years","35-44","Unintentional","1",367,427141,85.9
"Connecticut","09","35-44 years","35-44","Suicide","2",54,427141,12.6
"Connecticut","09","35-44 years","35-44","Homicide","3",24,427141,5.6
"Connecticut","09","35-44 years","35-44","Non-Injury, no intent classified","9",333,427141,78.0
"Connecticut","09","45-54 years","45-54","Unintentional","1",317,476905,66.5
"Connecticut","09","45-54 years","45-54","Suicide","2",92,476905,19.3
"Connecticut","09","45-54 years","45-54","Homicide","3",15,476905,Unreliable
"Connecticut","09","45-54 years","45-54","Non-Injury, no intent classified","9",1107,476905,232.1
"Connecticut","09","55-64 years","55-64","Unintentional","1",358,513455,69.7
"Connecticut","09","55-64 years","55-64","Suicide","2",91,513455,17.7
"Connecticut","09","55-64 years","55-64","Non-Injury, no intent classified","9",3106,513455,604.9
"Connecticut","09","65-74 years","65-74","Unintentional","1",182,352819,51.6
"Connecticut","09","65-74 years","65-74","Suicide","2",40,352819,11.3
"Connecticut","09","65-74 years","65-74","Non-Injury, no intent classified","9",4953,352819,1403.8
"Connecticut","09","75-84 years","75-84","Unintentional","1",166,186095,89.2
"Connecticut","09","75-84 years","75-84","Suicide","2",29,186095,15.6
"Connecticut","09","75-84 years","75-84","Non-Injury, no intent classified","9",7011,186095,3767.4
"Connecticut","09","85+ years","85+","Unintentional","1",347,91330,379.9
"Connecticut","09","85+ years","85+","Suicide","2",10,91330,Unreliable
"Connecticut","09","85+ years","85+","Non-Injury, no intent classified","9",12056,91330,13200.5
"Delaware","10","< 1 year","1","Non-Injury, no intent classified","9",63,10618,593.3
"Delaware","10","1-4 years","1-4","Non-Injury, no intent classified","9",11,44101,Unreliable
"Delaware","10","15-24 years","15-24","Unintentional","1",48,117372,40.9
"Delaware","10","15-24 years","15-24","Homicide","3",17,117372,Unreliable
"Delaware","10","15-24 years","15-24","Non-Injury, no intent classified","9",14,117372,Unreliable
"Delaware","10","25-34 years","25-34","Unintentional","1",162,129080,125.5
"Delaware","10","25-34 years","25-34","Suicide","2",19,129080,Unreliable
"Delaware","10","25-34 years","25-34","Homicide","3",12,129080,Unreliable
"Delaware","10","25-34 years","25-34","Non-Injury, no intent classified","9",55,129080,42.6
"Delaware","10","35-44 years","35-44","Unintentional","1",133,113101,117.6
"Delaware","10","35-44 years","35-44","Suicide","2",20,113101,17.7
"Delaware","10","35-44 years","35-44","Homicide","3",12,113101,Unreliable
"Delaware","10","35-44 years","35-44","Non-Injury, no intent classified","9",146,113101,129.1
"Delaware","10","45-54 years","45-54","Unintentional","1",105,118881,88.3
"Delaware","10","45-54 years","45-54","Suicide","2",25,118881,21.0
"Delaware","10","45-54 years","45-54","Non-Injury, no intent classified","9",377,118881,317.1
"Delaware","10","55-64 years","55-64","Unintentional","1",97,137730,70.4
"Delaware","10","55-64 years","55-64","Suicide","2",22,137730,16.0
"Delaware","10","55-64 years","55-64","Non-Injury, no intent classified","9",1076,137730,781.2
"Delaware","10","65-74 years","65-74","Unintentional","1",41,112858,36.3
"Delaware","10","65-74 years","65-74","Non-Injury, no intent classified","9",1744,112858,1545.3
"Delaware","10","75-84 years","75-84","Unintentional","1",56,55794,100.4
"Delaware","10","75-84 years","75-84","Non-Injury, no intent classified","9",2221,55794,3980.7
"Delaware","10","85+ years","85+","Unintentional","1",74,20254,365.4
"Delaware","10","85+ years","85+","Non-Injury, no intent classified","9",2675,20254,13207.3
"District of Columbia","11","< 1 year","1","Non-Injury, no intent classified","9",33,9552,345.5
"District of Columbia","11","15-24 years","15-24","Unintentional","1",15,87968,Unreliable
"District of Columbia","11","15-24 years","15-24","Homicide","3",63,87968,71.6
"District of Columbia","11","15-24 years","15-24","Non-Injury, no intent classified","9",11,87968,Unreliable
"District of Columbia","11","25-34 years","25-34","Unintentional","1",43,164541,26.1
"District of Columbia","11","25-34 years","25-34","Homicide","3",51,164541,31.0
"District of Columbia","11","25-34 years","25-34","Non-Injury, no intent classified","9",40,164541,24.3
"District of Columbia","11","35-44 years","35-44","Unintentional","1",59,108969,54.1
"District of Columbia","11","35-44 years","35-44","Suicide","2",10,108969,Unreliable
"District of Columbia","11","35-44 years","35-44","Homicide","3",14,108969,Unreliable
"District of Columbia","11","35-44 years","35-44","Non-Injury, no intent classified","9",115,108969,105.5
"District of Columbia","11","45-54 years","45-54","Unintentional","1",87,74286,117.1
"District of Columbia","11","45-54 years","45-54","Homicide","3",11,74286,Unreliable
"District of Columbia","11","45-54 years","45-54","Non-Injury, no intent classified","9",280,74286,376.9
"District of Columbia","11","55-64 years","55-64","Unintentional","1",124,69876,177.5
"District of Columbia","11","55-64 years","55-64","Homicide","3",15,69876,Unreliable
"District of Columbia","11","55-64 years","55-64","Non-Injury, no intent classified","9",715,69876,1023.2
"District of Columbia","11","65-74 years","65-74","Unintentional","1",56,50219,111.5
"District of Columbia","11","65-74 years","65-74","Non-Injury, no intent classified","9",901,50219,1794.1
"District of Columbia","11","75-84 years","75-84","Unintentional","1",14,24882,Unreliable
"District of Columbia","11","75-84 years","75-84","Non-Injury, no intent classified","9",943,24882,3789.9
"District of Columbia","11","85+ years","85+","Unintentional","1",27,12242,220.6
"District of Columbia","11","85+ years","85+","Non-Injury, no intent classified","9",1211,12242,9892.2
"Florida","12","< 1 year","1","Unintentional","1",87,221463,39.3
"Florida","12","< 1 year","1","Homicide","3",14,221463,Unreliable
"Florida","12","< 1 year","1","Non-Injury, no intent classified","9",1223,221463,552.2
"Florida","12","1-4 years","1-4","Unintentional","1",92,918279,10.0
"Florida","12","1-4 years","1-4","Homicide","3",13,918279,Unreliable
"Florida","12","1-4 years","1-4","Non-Injury, no intent classified","9",112,918279,12.2
"Florida","12","5-14 years","5-14","Unintentional","1",88,2372397,3.7
"Florida","12","5-14 years","5-14","Suicide","2",26,2372397,1.1
"Florida","12","5-14 years","5-14","Homicide","3",16,2372397,Unreliable
"Florida","12","5-14 years","5-14","Non-Injury, no intent classified","9",171,2372397,7.2
"Florida","12","15-24 years","15-24","Unintentional","1",847,2460558,34.4
"Florida","12","15-24 years","15-24","Suicide","2",295,2460558,12.0
"Florida","12","15-24 years","15-24","Homicide","3",313,2460558,12.7
"Florida","12","15-24 years","15-24","Undetermined ","4",10,2460558,Unreliable
"Florida","12","15-24 years","15-24","Non-Injury, no intent classified","9",392,2460558,15.9
"Florida","12","25-34 years","25-34","Unintentional","1",1894,2799422,67.7
"Florida","12","25-34 years","25-34","Suicide","2",455,2799422,16.3
"Florida","12","25-34 years","25-34","Homicide","3",402,2799422,14.4
"Florida","12","25-34 years","25-34","Undetermined ","4",22,2799422,0.8
"Florida","12","25-34 years","25-34","Non-Injury, no intent classified","9",1312,2799422,46.9
"Florida","12","35-44 years","35-44","Unintentional","1",1975,2600531,75.9
"Florida","12","35-44 years","35-44","Suicide","2",420,2600531,16.2
"Florida","12","35-44 years","35-44","Homicide","3",212,2600531,8.2
"Florida","12","35-44 years","35-44","Undetermined ","4",20,2600531,0.8
"Florida","12","35-44 years","35-44","Non-Injury, no intent classified","9",2968,2600531,114.1
"Florida","12","45-54 years","45-54","Unintentional","1",1758,2709395,64.9
"Florida","12","45-54 years","45-54","Suicide","2",614,2709395,22.7
"Florida","12","45-54 years","45-54","Homicide","3",145,2709395,5.4
"Florida","12","45-54 years","45-54","Undetermined ","4",21,2709395,0.8
"Florida","12","45-54 years","45-54","Non-Injury, no intent classified","9",8235,2709395,303.9
"Florida","12","55-64 years","55-64","Unintentional","1",1779,2898355,61.4
"Florida","12","55-64 years","55-64","Suicide","2",731,2898355,25.2
"Florida","12","55-64 years","55-64","Homicide","3",129,2898355,4.5
"Florida","12","55-64 years","55-64","Undetermined ","4",40,2898355,1.4
"Florida","12","55-64 years","55-64","Non-Injury, no intent classified","9",23174,2898355,799.6
"Florida","12","65-74 years","65-74","Unintentional","1",1206,2465369,48.9
"Florida","12","65-74 years","65-74","Suicide","2",452,2465369,18.3
"Florida","12","65-74 years","65-74","Homicide","3",63,2465369,2.6
"Florida","12","65-74 years","65-74","Undetermined ","4",22,2465369,0.9
"Florida","12","65-74 years","65-74","Non-Injury, no intent classified","9",37650,2465369,1527.2
"Florida","12","75-84 years","75-84","Unintentional","1",1524,1450514,105.1
"Florida","12","75-84 years","75-84","Suicide","2",311,1450514,21.4
"Florida","12","75-84 years","75-84","Homicide","3",17,1450514,Unreliable
"Florida","12","75-84 years","75-84","Non-Injury, no intent classified","9",49938,1450514,3442.8
"Florida","12","85+ years","85+","Unintentional","1",2098,581454,360.8
"Florida","12","85+ years","85+","Suicide","2",161,581454,27.7
"Florida","12","85+ years","85+","Non-Injury, no intent classified","9",63480,581454,10917.5
"Georgia","13","< 1 year","1","Unintentional","1",41,127141,32.2
"Georgia","13","< 1 year","1","Homicide","3",13,127141,Unreliable
"Georgia","13","< 1 year","1","Non-Injury, no intent classified","9",833,127141,655.2
"Georgia","13","1-4 years","1-4","Unintentional","1",49,529425,9.3
"Georgia","13","1-4 years","1-4","Homicide","3",13,529425,Unreliable
"Georgia","13","1-4 years","1-4","Non-Injury, no intent classified","9",98,529425,18.5
"Georgia","13","5-14 years","5-14","Unintentional","1",59,1413003,4.2
