state,kind,age,deaths,population
United States,Cerebrovascular Diseases,85+ years,64550,6604958
United States,Cerebrovascular Diseases,< 1 year,102,3783052
United States,Cerebrovascular Diseases,All Ages,150005,328239523
United States,Cerebrovascular Diseases,Not Stated,5,Not Applicable
United States,Diabetes Disease,1-4 years,2,15793631
United States,Diabetes Disease,15-24 years,248,42687510
United States,Diabetes Disease,25-34 years,887,45940321
United States,Diabetes Disease,35-44 years,2228,41659144
United States,Diabetes Disease,45-54 years,6348,40874902
United States,Diabetes Disease,5-14 years,26,40994163
United States,Diabetes Disease,55-64 years,15508,42448537
United States,Diabetes Disease,65-74 years,23069,31483433
United States,Diabetes Disease,75-84 years,22185,15969872
United States,Diabetes Disease,85+ years,17143,6604958
United States,Diabetes Disease,< 1 year,0,3783052
United States,Diabetes Disease,All Ages,87647,328239523
United States,Diabetes Disease,Not Stated,3,Not Applicable
United States,Drowning Accidents,1-4 years,384,15793631
United States,Drowning Accidents,15-24 years,458,42687510
United States,Drowning Accidents,25-34 years,503,45940321
United States,Drowning Accidents,35-44 years,461,41659144
United States,Drowning Accidents,45-54 years,519,40874902
United States,Drowning Accidents,5-14 years,236,40994163
United States,Drowning Accidents,55-64 years,558,42448537
United States,Drowning Accidents,65-74 years,438,31483433
United States,Drowning Accidents,75-84 years,286,15969872
United States,Drowning Accidents,85+ years,110,6604958
United States,Drowning Accidents,< 1 year,36,3783052
United States,Drowning Accidents,All Ages,3992,328239523
United States,Drowning Accidents,Not Stated,3,Not Applicable
United States,Heart Diseases,1-4 years,133,15793631
United States,Heart Diseases,15-24 years,872,42687510
United States,Heart Diseases,25-34 years,3495,45940321
United States,Heart Diseases,35-44 years,10499,41659144
United States,Heart Diseases,45-54 years,31138,40874902
United States,Heart Diseases,5-14 years,178,40994163
United States,Heart Diseases,55-64 years,80837,42448537
United States,Heart Diseases,65-74 years,122421,31483433
United States,Heart Diseases,75-84 years,158287,15969872
United States,Heart Diseases,85+ years,250875,6604958
United States,Heart Diseases,< 1 year,268,3783052
United States,Heart Diseases,All Ages,659041,328239523
United States,Heart Diseases,Not Stated,38,Not Applicable
United States,Homicides,1-4 years,284,15793631
United States,Homicides,15-24 years,4774,42687510
United States,Homicides,25-34 years,5341,45940321
United States,Homicides,35-44 years,3446,41659144
United States,Homicides,45-54 years,2053,40874902
United States,Homicides,5-14 years,346,40994163
United States,Homicides,55-64 years,1561,42448537
United States,Homicides,65-74 years,693,31483433
United States,Homicides,75-84 years,274,15969872
United States,Homicides,85+ years,104,6604958
United States,Homicides,< 1 year,263,3783052
United States,Homicides,All Ages,19141,328239523
United States,Homicides,Not Stated,2,Not Applicable
United States,Influenza Pneumonia,1-4 years,122,15793631
United States,Influenza Pneumonia,15-24 years,175,42687510
United States,Influenza Pneumonia,25-34 years,464,45940321
United States,Influenza Pneumonia,35-44 years,951,41659144
United States,Influenza Pneumonia,45-54 years,2085,40874902
United States,Influenza Pneumonia,5-14 years,123,40994163
United States,Influenza Pneumonia,55-64 years,5305,42448537
United States,Influenza Pneumonia,65-74 years,8603,31483433
United States,Influenza Pneumonia,75-84 years,12332,15969872
United States,Influenza Pneumonia,85+ years,19464,6604958
United States,Influenza Pneumonia,< 1 year,156,3783052
United States,Influenza Pneumonia,All Ages,49783,328239523
United States,Influenza Pneumonia,Not Stated,3,Not Applicable
United States,Liver Disease,1-4 years,0,15793631
United States,Liver Disease,15-24 years,33,42687510
United States,Liver Disease,25-34 years,1112,45940321
United States,Liver Disease,35-44 years,3417,41659144
United States,Liver Disease,45-54 years,8098,40874902
United States,Liver Disease,5-14 years,3,40994163
United States,Liver Disease,55-64 years,14385,42448537
United States,Liver Disease,65-74 years,10411,31483433
United States,Liver Disease,75-84 years,5144,15969872
United States,Liver Disease,85+ years,1751,6604958
United States,Liver Disease,< 1 year,0,3783052
United States,Liver Disease,All Ages,44358,328239523
United States,Liver Disease,Not Stated,4,Not Applicable
United States,Poisoning Accidents,1-4 years,46,15793631
United States,Poisoning Accidents,15-24 years,4589,42687510
United States,Poisoning Accidents,25-34 years,16395,45940321
United States,Poisoning Accidents,35-44 years,16899,41659144
United States,Poisoning Accidents,45-54 years,14880,40874902
United States,Poisoning Accidents,5-14 years,46,40994163
United States,Poisoning Accidents,55-64 years,12606,42448537
United States,Poisoning Accidents,65-74 years,3276,31483433
United States,Poisoning Accidents,75-84 years,516,15969872
United States,Poisoning Accidents,85+ years,217,6604958
United States,Poisoning Accidents,< 1 year,30,3783052
United States,Poisoning Accidents,All Ages,69509,328239523
United States,Poisoning Accidents,Not Stated,9,Not Applicable
United States,Respiratory Clrd Disease,1-4 years,37,15793631
United States,Respiratory Clrd Disease,15-24 years,168,42687510
United States,Respiratory Clrd Disease,25-34 years,367,45940321
United States,Respiratory Clrd Disease,35-44 years,659,41659144
United States,Respiratory Clrd Disease,45-54 years,3592,40874902
United States,Respiratory Clrd Disease,5-14 years,150,40994163
United States,Respiratory Clrd Disease,55-64 years,18743,42448537
United States,Respiratory Clrd Disease,65-74 years,39238,31483433
United States,Respiratory Clrd Disease,75-84 years,50791,15969872
United States,Respiratory Clrd Disease,85+ years,43217,6604958
United States,Respiratory Clrd Disease,< 1 year,12,3783052
United States,Respiratory Clrd Disease,All Ages,156979,328239523
United States,Respiratory Clrd Disease,Not Stated,5,Not Applicable
United States,Suffocation Accidents,1-4 years,147,15793631
United States,Suffocation Accidents,15-24 years,129,42687510
United States,Suffocation Accidents,25-34 years,188,45940321
United States,Suffocation Accidents,35-44 years,233,41659144
United States,Suffocation Accidents,45-54 years,442,40874902
United States,Suffocation Accidents,5-14 years,78,40994163
United States,Suffocation Accidents,55-64 years,867,42448537
United States,Suffocation Accidents,65-74 years,1120,31483433
United States,Suffocation Accidents,75-84 years,1287,15969872
United States,Suffocation Accidents,85+ years,1589,6604958
United States,Suffocation Accidents,< 1 year,1152,3783052
United States,Suffocation Accidents,All Ages,7232,328239523
United States,Suffocation Accidents,Not Stated,0,Not Applicable
United States,Suicides,1-4 years,0,15793631
United States,Suicides,15-24 years,5954,42687510
United States,Suicides,25-34 years,8059,45940321
United States,Suicides,35-44 years,7525,41659144
United States,Suicides,45-54 years,8012,40874902
United States,Suicides,5-14 years,546,40994163
United States,Suicides,55-64 years,8238,42448537
United States,Suicides,65-74 years,4867,31483433
United States,Suicides,75-84 years,2977,15969872
United States,Suicides,85+ years,1329,6604958
United States,Suicides,< 1 year,0,3783052
United States,Suicides,All Ages,47511,328239523
United States,Suicides,Not Stated,4,Not Applicable
United States,all accidents,1-4 years,1149,15793631
United States,all accidents,15-24 years,11755,42687510
United States,all accidents,25-34 years,24516,45940321
United States,all accidents,35-44 years,24070,41659144
United States,all accidents,45-54 years,23359,40874902
United States,all accidents,5-14 years,1492,40994163
United States,all accidents,55-64 years,24892,42448537
United States,all accidents,65-74 years,17163,31483433
United States,all accidents,75-84 years,18438,15969872
United States,all accidents,85+ years,24926,6604958
United States,all accidents,< 1 year,1266,3783052
United States,all accidents,All Ages,173040,328239523
United States,all accidents,Not Stated,14,Not Applicable
United States,all deaths,"1-4 years",3676,15793631
United States,all deaths,"15-24 years",29771,42687510
United States,all deaths,"25-34 years",59178,45940321
United States,all deaths,"35-44 years",82986,41659144
United States,all deaths,"45-54 years",160393,40874902
United States,all deaths,"5-14 years",5497,40994163
United States,all deaths,"55-64 years",374937,42448537
United States,all deaths,"65-74 years",555559,31483433
United States,all deaths,"75-84 years",688027,15969872
United States,all deaths,"85+ years",873746,6604958
United States,all deaths,"< 1 year",20921,3783052
United States,all deaths,"All Ages",2854838,328239523
United States,all diseases,1-4 years,2182,15793631
United States,all diseases,15-24 years,6720,42687510
United States,all diseases,25-34 years,19985,45940321
United States,all diseases,35-44 years,46691,41659144
United States,all diseases,45-54 years,125790,40874902
United States,all diseases,5-14 years,3046,40994163
United States,all diseases,55-64 years,339087,42448537
United States,all diseases,65-74 years,532422,31483433
United States,all diseases,75-84 years,666192,15969872
United States,all diseases,85+ years,847283,6604958
United States,all diseases,< 1 year,19276,3783052
United States,all diseases,All Ages,2608797,328239523
United States,all diseases,Not Stated,123,Not Applicable
Alabama,Alzheimers Disease,1-4 years,Suppressed,237456
Alabama,Alzheimers Disease,15-24 years,Suppressed,635707
Alabama,Alzheimers Disease,25-34 years,Suppressed,647229
Alabama,Alzheimers Disease,35-44 years,Suppressed,593306
Alabama,Alzheimers Disease,45-54 years,Suppressed,616616
Alabama,Alzheimers Disease,5-14 years,Suppressed,608466
Alabama,Alzheimers Disease,55-64 years,Suppressed,657667
Alabama,Alzheimers Disease,65-74 years,Suppressed,501447
Alabama,Alzheimers Disease,75-84 years,Suppressed,256847
Alabama,Alzheimers Disease,85+ years,Suppressed,91543
Alabama,Alzheimers Disease,< 1 year,Suppressed,56901
Alabama,Alzheimers Disease,All Ages,Suppressed,4903185
Alabama,Alzheimers Disease,Not Stated,Suppressed,Not Applicable
Alabama,Cancer,1-4 years,Suppressed,237456
Alabama,Cancer,15-24 years,Suppressed,635707
Alabama,Cancer,25-34 years,Suppressed,647229
Alabama,Cancer,35-44 years,Suppressed,593306
Alabama,Cancer,45-54 years,Suppressed,616616
Alabama,Cancer,5-14 years,Suppressed,608466
Alabama,Cancer,55-64 years,Suppressed,657667
Alabama,Cancer,65-74 years,Suppressed,501447
Alabama,Cancer,75-84 years,Suppressed,256847
Alabama,Cancer,85+ years,Suppressed,91543
Alabama,Cancer,< 1 year,Suppressed,56901
Alabama,Cancer,All Ages,Suppressed,4903185
Alabama,Cancer,Not Stated,Suppressed,Not Applicable
Alabama,Car accidents,1-4 years,10,237456
Alabama,Car accidents,15-24 years,173,635707
Alabama,Car accidents,25-34 years,179,647229
Alabama,Car accidents,35-44 years,162,593306
Alabama,Car accidents,45-54 years,126,616616
Alabama,Car accidents,5-14 years,15,608466
Alabama,Car accidents,55-64 years,138,657667
Alabama,Car accidents,65-74 years,99,501447
Alabama,Car accidents,75-84 years,52,256847
Alabama,Car accidents,85+ years,26,91543
Alabama,Car accidents,< 1 year,Suppressed,56901
Alabama,Car accidents,All Ages,981,4903185
Alabama,Car accidents,Not Stated,Suppressed,Not Applicable
Alabama,Cerebrovascular Diseases,1-4 years,Suppressed,237456
Alabama,Cerebrovascular Diseases,15-24 years,Suppressed,635707
Alabama,Cerebrovascular Diseases,25-34 years,Suppressed,647229
Alabama,Cerebrovascular Diseases,35-44 years,Suppressed,593306
Alabama,Cerebrovascular Diseases,45-54 years,Suppressed,616616
Alabama,Cerebrovascular Diseases,5-14 years,Suppressed,608466
Alabama,Cerebrovascular Diseases,55-64 years,Suppressed,657667
Alabama,Cerebrovascular Diseases,65-74 years,Suppressed,501447
Alabama,Cerebrovascular Diseases,75-84 years,Suppressed,256847
Alabama,Cerebrovascular Diseases,85+ years,Suppressed,91543
Alabama,Cerebrovascular Diseases,< 1 year,Suppressed,56901
Alabama,Cerebrovascular Diseases,All Ages,Suppressed,4903185
Alabama,Cerebrovascular Diseases,Not Stated,Suppressed,Not Applicable
Alabama,Diabetes Disease,1-4 years,Suppressed,237456
Alabama,Diabetes Disease,15-24 years,Suppressed,635707
Alabama,Diabetes Disease,25-34 years,Suppressed,647229
Alabama,Diabetes Disease,35-44 years,Suppressed,593306
Alabama,Diabetes Disease,45-54 years,Suppressed,616616
Alabama,Diabetes Disease,5-14 years,Suppressed,608466
Alabama,Diabetes Disease,55-64 years,Suppressed,657667
Alabama,Diabetes Disease,65-74 years,Suppressed,501447
Alabama,Diabetes Disease,75-84 years,Suppressed,256847
Alabama,Diabetes Disease,85+ years,Suppressed,91543
Alabama,Diabetes Disease,< 1 year,Suppressed,56901
Alabama,Diabetes Disease,All Ages,Suppressed,4903185
Alabama,Diabetes Disease,Not Stated,Suppressed,Not Applicable
Alabama,Drowning Accidents,1-4 years,16,237456
Alabama,Drowning Accidents,15-24 years,11,635707
Alabama,Drowning Accidents,25-34 years,Suppressed,647229
Alabama,Drowning Accidents,35-44 years,Suppressed,593306
Alabama,Drowning Accidents,45-54 years,10,616616
Alabama,Drowning Accidents,5-14 years,Suppressed,608466
Alabama,Drowning Accidents,55-64 years,Suppressed,657667
Alabama,Drowning Accidents,65-74 years,Suppressed,501447
Alabama,Drowning Accidents,75-84 years,Suppressed,256847
Alabama,Drowning Accidents,85+ years,Suppressed,91543
Alabama,Drowning Accidents,< 1 year,Suppressed,56901
Alabama,Drowning Accidents,All Ages,81,4903185
Alabama,Drowning Accidents,Not Stated,Suppressed,Not Applicable
Alabama,Heart Diseases,1-4 years,Suppressed,237456
Alabama,Heart Diseases,15-24 years,Suppressed,635707
Alabama,Heart Diseases,25-34 years,Suppressed,647229
Alabama,Heart Diseases,35-44 years,Suppressed,593306
Alabama,Heart Diseases,45-54 years,Suppressed,616616
Alabama,Heart Diseases,5-14 years,Suppressed,608466
Alabama,Heart Diseases,55-64 years,Suppressed,657667
Alabama,Heart Diseases,65-74 years,Suppressed,501447
Alabama,Heart Diseases,75-84 years,Suppressed,256847
Alabama,Heart Diseases,85+ years,Suppressed,91543
Alabama,Heart Diseases,< 1 year,Suppressed,56901
Alabama,Heart Diseases,All Ages,Suppressed,4903185
Alabama,Heart Diseases,Not Stated,Suppressed,Not Applicable
Alabama,Homicides,1-4 years,14,237456
Alabama,Homicides,15-24 years,127,635707
Alabama,Homicides,25-34 years,155,647229
Alabama,Homicides,35-44 years,127,593306
Alabama,Homicides,45-54 years,65,616616
Alabama,Homicides,5-14 years,Suppressed,608466
Alabama,Homicides,55-64 years,46,657667
Alabama,Homicides,65-74 years,19,501447
Alabama,Homicides,75-84 years,13,256847
Alabama,Homicides,85+ years,Suppressed,91543
Alabama,Homicides,< 1 year,Suppressed,56901
Alabama,Homicides,All Ages,587,4903185
Alabama,Homicides,Not Stated,Suppressed,Not Applicable
Alabama,Influenza Pneumonia,1-4 years,Suppressed,237456
Alabama,Influenza Pneumonia,15-24 years,Suppressed,635707
Alabama,Influenza Pneumonia,25-34 years,Suppressed,647229
Alabama,Influenza Pneumonia,35-44 years,Suppressed,593306
Alabama,Influenza Pneumonia,45-54 years,Suppressed,616616
Alabama,Influenza Pneumonia,5-14 years,Suppressed,608466
Alabama,Influenza Pneumonia,55-64 years,Suppressed,657667
Alabama,Influenza Pneumonia,65-74 years,Suppressed,501447
Alabama,Influenza Pneumonia,75-84 years,Suppressed,256847
Alabama,Influenza Pneumonia,85+ years,Suppressed,91543
Alabama,Influenza Pneumonia,< 1 year,Suppressed,56901
Alabama,Influenza Pneumonia,All Ages,Suppressed,4903185
Alabama,Influenza Pneumonia,Not Stated,Suppressed,Not Applicable
Alabama,Liver Disease,1-4 years,Suppressed,237456
Alabama,Liver Disease,15-24 years,Suppressed,635707
Alabama,Liver Disease,25-34 years,Suppressed,647229
Alabama,Liver Disease,35-44 years,Suppressed,593306
Alabama,Liver Disease,45-54 years,Suppressed,616616
Alabama,Liver Disease,5-14 years,Suppressed,608466
Alabama,Liver Disease,55-64 years,Suppressed,657667
Alabama,Liver Disease,65-74 years,Suppressed,501447
Alabama,Liver Disease,75-84 years,Suppressed,256847
Alabama,Liver Disease,85+ years,Suppressed,91543
Alabama,Liver Disease,< 1 year,Suppressed,56901
Alabama,Liver Disease,All Ages,Suppressed,4903185
Alabama,Liver Disease,Not Stated,Suppressed,Not Applicable
Alabama,Poisoning Accidents,1-4 years,Suppressed,237456
Alabama,Poisoning Accidents,15-24 years,51,635707
Alabama,Poisoning Accidents,25-34 years,188,647229
Alabama,Poisoning Accidents,35-44 years,200,593306
Alabama,Poisoning Accidents,45-54 years,149,616616
Alabama,Poisoning Accidents,5-14 years,Suppressed,608466
Alabama,Poisoning Accidents,55-64 years,111,657667
Alabama,Poisoning Accidents,65-74 years,23,501447
Alabama,Poisoning Accidents,75-84 years,10,256847
Alabama,Poisoning Accidents,85+ years,Suppressed,91543
Alabama,Poisoning Accidents,< 1 year,Suppressed,56901
Alabama,Poisoning Accidents,All Ages,739,4903185
Alabama,Poisoning Accidents,Not Stated,Suppressed,Not Applicable
Alabama,Respiratory Clrd Disease,1-4 years,Suppressed,237456
Alabama,Respiratory Clrd Disease,15-24 years,Suppressed,635707
Alabama,Respiratory Clrd Disease,25-34 years,Suppressed,647229
Alabama,Respiratory Clrd Disease,35-44 years,Suppressed,593306
Alabama,Respiratory Clrd Disease,45-54 years,Suppressed,616616
Alabama,Respiratory Clrd Disease,5-14 years,Suppressed,608466
Alabama,Respiratory Clrd Disease,55-64 years,Suppressed,657667
Alabama,Respiratory Clrd Disease,65-74 years,Suppressed,501447
Alabama,Respiratory Clrd Disease,75-84 years,Suppressed,256847
Alabama,Respiratory Clrd Disease,85+ years,Suppressed,91543
Alabama,Respiratory Clrd Disease,< 1 year,Suppressed,56901
Alabama,Respiratory Clrd Disease,All Ages,Suppressed,4903185
Alabama,Respiratory Clrd Disease,Not Stated,Suppressed,Not Applicable
Alabama,Suffocation Accidents,1-4 years,Suppressed,237456
Alabama,Suffocation Accidents,15-24 years,Suppressed,635707
Alabama,Suffocation Accidents,25-34 years,Suppressed,647229
Alabama,Suffocation Accidents,35-44 years,Suppressed,593306
Alabama,Suffocation Accidents,45-54 years,10,616616
Alabama,Suffocation Accidents,5-14 years,Suppressed,608466
Alabama,Suffocation Accidents,55-64 years,15,657667
Alabama,Suffocation Accidents,65-74 years,20,501447
Alabama,Suffocation Accidents,75-84 years,19,256847
Alabama,Suffocation Accidents,85+ years,21,91543
Alabama,Suffocation Accidents,< 1 year,16,56901
Alabama,Suffocation Accidents,All Ages,116,4903185
Alabama,Suffocation Accidents,Not Stated,Suppressed,Not Applicable
Alabama,Suicides,1-4 years,Suppressed,237456
Alabama,Suicides,15-24 years,94,635707
Alabama,Suicides,25-34 years,129,647229
Alabama,Suicides,35-44 years,157,593306
Alabama,Suicides,45-54 years,137,616616
Alabama,Suicides,5-14 years,10,608466
Alabama,Suicides,55-64 years,119,657667
Alabama,Suicides,65-74 years,84,501447
Alabama,Suicides,75-84 years,51,256847
Alabama,Suicides,85+ years,23,91543
Alabama,Suicides,< 1 year,Suppressed,56901
Alabama,Suicides,All Ages,804,4903185
Alabama,Suicides,Not Stated,Suppressed,Not Applicable
Alabama,all accidents,1-4 years,45,237456
Alabama,all accidents,15-24 years,269,635707
Alabama,all accidents,25-34 years,413,647229
Alabama,all accidents,35-44 years,419,593306
Alabama,all accidents,45-54 years,368,616616
Alabama,all accidents,5-14 years,37,608466
Alabama,all accidents,55-64 years,383,657667
Alabama,all accidents,65-74 years,309,501447
Alabama,all accidents,75-84 years,274,256847
Alabama,all accidents,85+ years,217,91543
Alabama,all accidents,< 1 year,21,56901
Alabama,all accidents,Not Stated,Suppressed,Not Applicable
Alabama,all deaths,1-4 years,113,237456
Alabama,all deaths,15-24 years,623,635707
Alabama,all deaths,25-34 years,1158,647229
Alabama,all deaths,35-44 years,1794,593306
Alabama,all deaths,45-54 years,3447,616616
Alabama,all deaths,5-14 years,126,608466
Alabama,all deaths,55-64 years,7943,657667
Alabama,all deaths,65-74 years,11917,501447
Alabama,all deaths,75-84 years,13458,256847
Alabama,all deaths,85+ years,13080,91543
Alabama,all deaths,< 1 year,449,56901
Alabama,all deaths,All Ages,54108,4903185
Alabama,all deaths,Not Stated,Suppressed,Not Applicable
Alabama,all diseases,1-4 years,54,237456
Alabama,all diseases,15-24 years,124,635707
Alabama,all diseases,25-34 years,451,647229
Alabama,all diseases,35-44 years,1084,593306
Alabama,all diseases,45-54 years,2864,616616
Alabama,all diseases,5-14 years,71,608466
Alabama,all diseases,55-64 years,7386,657667
Alabama,all diseases,65-74 years,11495,501447
Alabama,all diseases,75-84 years,13119,256847
Alabama,all diseases,85+ years,12833,91543
Alabama,all diseases,< 1 year,418,56901
Alabama,all diseases,Not Stated,Suppressed,Not Applicable
Alaska,Alzheimers Disease,1-4 years,Suppressed,41102
Alaska,Alzheimers Disease,15-24 years,Suppressed,96393
Alaska,Alzheimers Disease,25-34 years,Suppressed,117588
Alaska,Alzheimers Disease,35-44 years,Suppressed,95765
Alaska,Alzheimers Disease,45-54 years,Suppressed,85130
Alaska,Alzheimers Disease,5-14 years,Suppressed,100662
Alaska,Alzheimers Disease,55-64 years,Suppressed,93339
Alaska,Alzheimers Disease,65-74 years,Suppressed,61300
Alaska,Alzheimers Disease,75-84 years,Suppressed,23107
Alaska,Alzheimers Disease,85+ years,Suppressed,7181
Alaska,Alzheimers Disease,< 1 year,Suppressed,9978
Alaska,Alzheimers Disease,All Ages,Suppressed,731545
Alaska,Alzheimers Disease,Not Stated,Suppressed,Not Applicable
Alaska,Cancer,1-4 years,Suppressed,41102
Alaska,Cancer,15-24 years,Suppressed,96393
Alaska,Cancer,25-34 years,Suppressed,117588
Alaska,Cancer,35-44 years,Suppressed,95765
Alaska,Cancer,45-54 years,Suppressed,85130
Alaska,Cancer,5-14 years,Suppressed,100662
Alaska,Cancer,55-64 years,Suppressed,93339
Alaska,Cancer,65-74 years,Suppressed,61300
Alaska,Cancer,75-84 years,Suppressed,23107
Alaska,Cancer,85+ years,Suppressed,7181
Alaska,Cancer,< 1 year,Suppressed,9978
Alaska,Cancer,All Ages,Suppressed,731545
Alaska,Cancer,Not Stated,Suppressed,Not Applicable
Alaska,Car accidents,1-4 years,Suppressed,41102
Alaska,Car accidents,15-24 years,17,96393
Alaska,Car accidents,25-34 years,12,117588
Alaska,Car accidents,35-44 years,Suppressed,95765
Alaska,Car accidents,45-54 years,Suppressed,85130
Alaska,Car accidents,5-14 years,Suppressed,100662
Alaska,Car accidents,55-64 years,10,93339
Alaska,Car accidents,65-74 years,Suppressed,61300
Alaska,Car accidents,75-84 years,Suppressed,23107
Alaska,Car accidents,85+ years,Suppressed,7181
Alaska,Car accidents,< 1 year,Suppressed,9978
Alaska,Car accidents,All Ages,72,731545
Alaska,Car accidents,Not Stated,Suppressed,Not Applicable
Alaska,Cerebrovascular Diseases,1-4 years,Suppressed,41102
Alaska,Cerebrovascular Diseases,15-24 years,Suppressed,96393
Alaska,Cerebrovascular Diseases,25-34 years,Suppressed,117588
Alaska,Cerebrovascular Diseases,35-44 years,Suppressed,95765
Alaska,Cerebrovascular Diseases,45-54 years,Suppressed,85130
Alaska,Cerebrovascular Diseases,5-14 years,Suppressed,100662
Alaska,Cerebrovascular Diseases,55-64 years,Suppressed,93339
Alaska,Cerebrovascular Diseases,65-74 years,Suppressed,61300
Alaska,Cerebrovascular Diseases,75-84 years,Suppressed,23107
Alaska,Cerebrovascular Diseases,85+ years,Suppressed,7181
Alaska,Cerebrovascular Diseases,< 1 year,Suppressed,9978
Alaska,Cerebrovascular Diseases,All Ages,Suppressed,731545
Alaska,Cerebrovascular Diseases,Not Stated,Suppressed,Not Applicable
Alaska,Diabetes Disease,1-4 years,Suppressed,41102
Alaska,Diabetes Disease,15-24 years,Suppressed,96393
Alaska,Diabetes Disease,25-34 years,Suppressed,117588
Alaska,Diabetes Disease,35-44 years,Suppressed,95765
Alaska,Diabetes Disease,45-54 years,Suppressed,85130
Alaska,Diabetes Disease,5-14 years,Suppressed,100662
Alaska,Diabetes Disease,55-64 years,Suppressed,93339
Alaska,Diabetes Disease,65-74 years,Suppressed,61300
Alaska,Diabetes Disease,75-84 years,Suppressed,23107
Alaska,Diabetes Disease,85+ years,Suppressed,7181
Alaska,Diabetes Disease,< 1 year,Suppressed,9978
Alaska,Diabetes Disease,All Ages,Suppressed,731545
Alaska,Diabetes Disease,Not Stated,Suppressed,Not Applicable
Alaska,Drowning Accidents,1-4 years,Suppressed,41102
Alaska,Drowning Accidents,15-24 years,Suppressed,96393
Alaska,Drowning Accidents,25-34 years,Suppressed,117588
Alaska,Drowning Accidents,35-44 years,Suppressed,95765
Alaska,Drowning Accidents,45-54 years,Suppressed,85130
Alaska,Drowning Accidents,5-14 years,Suppressed,100662
Alaska,Drowning Accidents,55-64 years,Suppressed,93339
Alaska,Drowning Accidents,65-74 years,Suppressed,61300
Alaska,Drowning Accidents,75-84 years,Suppressed,23107
Alaska,Drowning Accidents,85+ years,Suppressed,7181
Alaska,Drowning Accidents,< 1 year,Suppressed,9978
Alaska,Drowning Accidents,All Ages,18,731545
Alaska,Drowning Accidents,Not Stated,Suppressed,Not Applicable
Alaska,Heart Diseases,1-4 years,Suppressed,41102
Alaska,Heart Diseases,15-24 years,Suppressed,96393
Alaska,Heart Diseases,25-34 years,Suppressed,117588
Alaska,Heart Diseases,35-44 years,Suppressed,95765
Alaska,Heart Diseases,45-54 years,Suppressed,85130
Alaska,Heart Diseases,5-14 years,Suppressed,100662
Alaska,Heart Diseases,55-64 years,Suppressed,93339
Alaska,Heart Diseases,65-74 years,Suppressed,61300
Alaska,Heart Diseases,75-84 years,Suppressed,23107
Alaska,Heart Diseases,85+ years,Suppressed,7181
Alaska,Heart Diseases,< 1 year,Suppressed,9978
Alaska,Heart Diseases,All Ages,Suppressed,731545
Alaska,Heart Diseases,Not Stated,Suppressed,Not Applicable
Alaska,Homicides,1-4 years,Suppressed,41102
Alaska,Homicides,15-24 years,13,96393
Alaska,Homicides,25-34 years,21,117588
Alaska,Homicides,35-44 years,18,95765
Alaska,Homicides,45-54 years,14,85130
Alaska,Homicides,5-14 years,Suppressed,100662
Alaska,Homicides,55-64 years,Suppressed,93339
Alaska,Homicides,65-74 years,Suppressed,61300
Alaska,Homicides,75-84 years,Suppressed,23107
Alaska,Homicides,85+ years,Suppressed,7181
Alaska,Homicides,< 1 year,Suppressed,9978
Alaska,Homicides,All Ages,78,731545
